text,label
"In conversation with the Legendary actor, playwright, and activist Ntate John Kani. Kani joins Dr. Mbuyiseni Ndlozi for a powerful conversation on theatre, Hollywood, African storytelling, and the politics shaping the modern world.",arts
"The Government of Zimbabwe formulated the National Human Settlements Policy to address urbanisation and housing challenges in the country Among the provisions of the policy are the call to densify cities as an approach towards sustainable urban development and better housing provision. As the policy is implemented it calls to question how town planning professionals will operationalise the densification provisions of the policy. This week, Archimedes Muzenda speaks with Amos Muganda and Maryjane Chikukwa both Regional and Town Planners and members of the African Planning Society to hear more on how the densification provisions of the policy can be operationalised.",economy
"The UK's Keir Starmer has resigned as Prime Minister and Labour leader after weeks of mounting pressure over political missteps, a slowing economy and falling support for the governing party. We examine what his departure could mean for UK-Africa relations and the estimated three million Africans living in Britain. And, nearly 118 million people worldwide are forcibly displaced, and refugees in parts of Africa spend an average of 16 years in exile. We explore what's behind these prolonged displacements and hear one former refugee's remarkable journey.",politics
"This is John Drabinski and you’re listening to The Black Studies podcast, a series of conversations examining the history of the field. Our conversations engage with a wide range of activists and scholars - senior figures in the field, graduate students, and everyone in between, culture workers, and political organizers - in order to explore the cultural and political meaning of Black Studies as an area of inquiry and its critical methods. Today’s conversation is with Jarvis Givens, who teaches in the Departments of African and African American Studies and School of Education at Harvard University. Along with a number of essays in popular and academic venues, he is co-editor of 'We Dare Say Love': Supporting Achievement in the Educational Life of Black Boys (2018) and author of Fugitive Pedagogy: Carter G. Woodson and the Art of Black Teaching (2021), School Clothes: A Collective Memoir of Black Student Witness (2023), American Grammar: Race, Education, and the Building of a Nation (2025), and I'll Make Me a World: The 100-Year Journey of Black History Month (2026). In this conversation, we discuss the place of education and education writing in African American history, the culture and politics of Black study, and the imperative for Black Studies to impact community educational spaces.",arts
"In conversation with Saida Ali, we explore the role of women in shaping Africa's future and the importance of leadership, community, and collective action across the continent. We also discuss the challenges and opportunities facing African societies today, what authentic leadership looks like, and why empowering communities remains essential for long-term progress.",politics
"The information space is the new geopolitical frontier, and Africa stands at its centre. This episode explores why the continent must claim digital sovereignty—separating genuine civic expression from external manipulation, as the goal is not to silence voices, but to ensure they remain authentically African.",politics
"In this episode, we discuss the importance of shifting from consuming to creating. And If you’re not ready to create or worry that you don’t have anything valuable, listen till the end for a tip!",economy
Urban sprawl and social instability leads Kilwa to develop a sister city on a nearby peninsula. Songo Mnara grows rapidly to become a major urban center on the Eastern Coast of Africa.,history
"We've talked about the Berlin Conference before, but this episode zooms in on the actual mechanics of how Africa's borders were drawn on paper in European capitals, often with little to no knowledge of the terrain, cultures, or pre-existing polities. Lucas and Luna explore the role of cartographers, diplomats, and explorers like Henry Morton Stanley and Pierre Savorgnan de Brazza in providing the sketchy maps that delegates used. They discuss the principle of 'effective occupation' that the conference established, and how it was routinely violated. They also look at the specific case of the Congo Basin, where Leopold II's claims were recognized despite his not even being there. The episode touches on the long-term consequences of these arbitrary lines, including modern conflicts over resources and ethnic groups split between countries. A specific focus is on the Katanga region, where mineral wealth was discovered and borders were redrawn in the 1890s to benefit colonial companies.",history
"We've talked about the Berlin Conference before, but this episode zooms in on the actual mechanics of how Africa's borders were drawn on paper in European capitals, often with little to no knowledge of the terrain, cultures, or pre-existing polities. Lucas and Luna explore the role of cartographers, diplomats, and explorers like Henry Morton Stanley and Pierre Savorgnan de Brazza in providing the sketchy maps that delegates used. They discuss the principle of 'effective occupation' that the conference established, and how it was routinely violated. They also look at the specific case of the Congo Basin, where Leopold II's claims were recognized despite his not even being there. The episode touches on the long-term consequences of these arbitrary lines, including modern conflicts over resources and ethnic groups split between countries. A specific focus is on the Katanga region, where mineral wealth was discovered and borders were redrawn in the 1890s to benefit colonial companies.",history
"The rise and fall of Joseph Désiré Mobutu, the long-ruling dictator of the Democratic Republic of the Congo. It traces his journey from a rebellious student and journalist to a military officer who seized power following the chaotic independence from Belgium and the assassination of Patrice Lumumba. Under his rebranded identity, Mobutu Sese Seko, he established a totalitarian regime defined by a personality cult, the systematic looting of national resources, and a state ideology known as Mobutuism. He maintained authority through Western Cold War support, brutal suppression of dissent, and a vast system of political patronage, before his downfall as the end of the Cold War and the Rwandan genocide destabilised his rule, leading to his exile in 1997.",history
"An examination of the comprehensive support independent African nations and regional organisations provided to dismantle the apartheid regime in South Africa. Key players like Liberia, Nigeria, and Tanzania offered vital diplomatic backing, financial grants, and military training bases that sustained liberation movements such as the ANC. The episode highlights critical milestones, including the legal challenges at the International Court of Justice and the decisive Battle of Cuito Cuanavale, which shattered the myth of white military supremacy. While the Organisation of African Unity unified the continent's opposition, individual 'Frontline States' endured severe economic and physical retaliation for their resistance. It contrasts this historic Pan-African solidarity with the modern challenges of xenophobic violence currently facing migrants within South Africa.",history
"The life and immense cultural impact of Ben Enwonwu, a pioneering Nigerian artist who rose to global prominence during the mid-20th century. Against a backdrop of post-war migration and rising African independence movements, Enwonwu emerged as a leading figure of the Négritude philosophy, using his art to assert the beauty and dignity of Black identity. He navigated the complex intersection of traditional African forms and Western techniques, famously becoming the first African to create an official royal portrait of Queen Elizabeth II. Beyond his creative output, Enwonwu was a vocal intellectual who addressed the emotional trauma of stolen cultural artifacts and the challenges faced by modern African creators. His legacy is defined by his role in national reconciliation through masterpieces like Tutu and his enduring influence on the global art market.",arts
"An exploration of the systemic rise of xenophobia in South Africa, illustrating a shift from sporadic violence to institutionalised exclusion. It details how economic stagnation and populist political rhetoric have transformed foreign nationals into scapegoats for state failures, leading to the emergence of organised vigilante groups like Operation Dudula. The episode highlights the dire consequences of this sentiment, including medical xenophobia where migrants are denied healthcare, and radical legislative changes that restrict asylum rights. It also examines how digital platforms amplify anti-migrant hate speech and facilitate coordinated harassment, framing the crisis as a fundamental threat to social cohesion and South Africa's post-apartheid democratic ideals.",politics
"In this episode we speak to Jeremy Awori, Group CEO of Ecobank, ahead of the bank's 38th General Assembly meeting. We cover the themes shaping Ecobank and African banking today, their three-year growth roadmap, renewed goals, culture in times of change, technology as a leapfrog engine, and the role of development finance institutions in unlocking Africa's growth potential.",economy
